# table_S7a_representativeness_budget
# Representativeness and sensitivity budget. The imaged field's product flux is ~12 orders of magnitude below any product detector's limit, so spontaneous single-atom event analysis against a mass spectrometer is excluded, not merely difficult. The whole chip is measurable at low flow.
# SIMULATED DATA -- generated by the opcem digital twin. These values are not measurements and were not obtained from any physical microscope, nanoreactor or mass spectrometer.
# git=ee55753 seed=91
quantity,value
imaged_field_nm,40
reactive_zone_um2,1e+04
projected_area_fraction,1.6e-07
catalyst_area_multiplier,3.5e+04
f_rep,4.571e-12
pt_atoms_in_field,90
pt_atoms_on_chip,1.969e+13
field_rate_molec_per_s,1.357
chip_rate_molec_per_s,2.968e+11
flow_sccm,2
qms_flux_limit_molec_per_s,8.956e+11
chip_rate_over_limit,0.3313
field_rate_over_limit,1.515e-12
one_event_rel_effect_on_field,0.04768
one_event_rel_effect_on_chip,2.18e-13
ms_relative_noise_per_bin,0.02
events_needed_for_snr1_on_chip,8.42e+21
field_detector_shortfall,6.602e+11
