# table_S7g_perturbation_synchronised
# Perturbation-synchronised event analysis. A global O2 step moves the chip-averaged rate even at a representativeness fraction of ~5e-12. 'during_pulse_direct' measures the coverage-mediated response; 'after_pulse_structural' blanks a gap of the pulse duration plus three dispersions and measures what survives, which can only be carried by the catalyst's state. The periodic arm is not distinguishable from its circular-shift null by construction; the randomised arm is the one that identifies anything.
# SIMULATED DATA -- generated by the opcem digital twin. These values are not measurements and were not obtained from any physical microscope, nanoreactor or mass spectrometer.
# git=ee55753 seed=94
arm,signal,mode,n_events,delta,delta_sd,delta_rel,p_surrogate,z_vs_null
periodic,chip_rate,during_pulse_direct,42,0.07891,0.001432,0.0828,0.8936,0.2666
periodic,chip_rate,after_pulse_structural,42,-0.005945,0.004693,-0.006236,0.9853,-0.02329
periodic,field_rate_cf,during_pulse_direct,42,0.0686,0.01506,0.1084,0.6089,0.3679
periodic,field_rate_cf,after_pulse_structural,42,-0.00993,0.01156,-0.01584,0.956,-0.03734
periodic,field_dispersed_frac,during_pulse_direct,42,-0.0006497,0.00354,-0.001585,,
periodic,field_dispersed_frac,after_pulse_structural,42,-0.01005,0.001041,-0.02143,,
randomised,chip_rate,during_pulse_direct,41.75,0.1465,0.01001,0.1541,0.01973,2.312
randomised,chip_rate,after_pulse_structural,41.75,0.1747,0.08291,0.1837,0.2318,1.437
randomised,field_rate_cf,during_pulse_direct,41.75,0.111,0.01557,0.1645,0.06868,1.981
randomised,field_rate_cf,after_pulse_structural,41.75,0.1391,0.08409,0.2082,0.3044,1.28
randomised,field_dispersed_frac,during_pulse_direct,41.75,0.0002293,0.003078,0.0006523,,
randomised,field_dispersed_frac,after_pulse_structural,41.75,-0.008697,0.003171,-0.01828,,
